Player,Team,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,Prob%,ScrapeDate
Nikola Jokić,DEN,8,1,.889,9,9,34.2,11.9,19.1,.622,1.4,4.3,.333,10.4,14.8,.707,.660,3.9,5.4,.714,3.1,9.8,12.9,8.0,1.1,0.8,3.4,2.1,29.1,,64.9%,2023_11_12
Joel Embiid,PHI,7,1,.875,8,8,33.9,10.9,21.3,.512,1.4,3.6,.379,9.5,17.6,.539,.544,8.8,10.4,.843,2.9,8.6,11.5,5.5,0.6,2.3,3.9,2.5,31.9,,16.0%,2023_11_12
Luka Dončić,DAL,7,2,.778,9,9,36.7,11.2,21.7,.518,4.3,10.4,.415,6.9,11.2,.614,.618,6.1,7.8,.786,0.7,8.2,8.9,8.4,1.3,0.6,4.4,2.1,32.9,,8.4%,2023_11_12
Tyrese Maxey,PHI,7,1,.875,8,8,37.8,9.1,19.0,.480,3.0,7.6,.393,6.1,11.4,.538,.559,4.6,5.0,.925,0.6,4.6,5.3,7.5,1.1,0.8,1.0,1.9,25.9,,7.4%,2023_11_12
Tyrese Haliburton,IND,6,3,.667,8,8,32.8,8.3,16.4,.504,3.0,7.5,.400,5.3,8.9,.592,.595,4.1,4.4,.943,0.5,3.8,4.3,11.6,0.9,0.6,2.6,1.3,23.6,,1.1%,2023_11_12
